Date,PSEI,JKSE,USD/PHP,USD/IDR,Fed Fund Rate
20/10/1997,2015.780029,514.17,34.1,3620,5.57
20/11/1997,1872.75,396.13,35.05,3565,5.57
20/2/1997,3310.429932,698.67,26.343,2388.5,5.15
20/3/1997,3206.669922,663.13,26.333,2406,5.32
20/5/1997,2499.379883,652.83,26.373,2442.5,5.51
20/6/1997,2881.72998,712.22,26.38,2430.5,5.39
20/8/1997,2408.060059,593.17,30.25,2765,5.8
21/1/1997,3279.22998,680.88,26.305,2370.8,5.33
21/1/1998,1755.27002,466,42,11500,5.4
21/10/1997,1993.890015,514.97,34.4,3625,5.53
21/11/1997,1849.670044,391.26,34.35,3565,5.41
21/2/1997,3301.97998,696.5,26.343,2388,5.08
21/3/1997,3201.649902,656.11,26.344,2405,5.28
21/4/1997,2944.97998,642.26,26.37,2414.5,5.34
21/5/1997,2538.969971,654.09,26.374,2442.2,5.56
21/7/1997,2648.340088,712.4,28.85,2635,5.5
21/8/1997,2459.040039,603.06,30.1,2675,5.64
22/1/1997,3275.830078,686.12,26.305,2370.5,5.21
22/1/1998,1707.609985,443.53,43.15,13050,5.47
22/10/1997,1928.969971,505.23,35,3610,5.76
22/12/1997,1887.180054,385.85,40.2,5245,5.55
22/4/1997,2860.449951,646.24,26.368,2420,5.5
22/5/1997,2586.689941,654.09,26.38,2444.5,5.48
22/7/1997,2656.72998,711.44,28.6,2582.5,5.44
22/8/1997,2428.72998,574.39,30.05,2695,5.49
22/9/1997,2096.22998,535.6,33.4,3035,5.51
23/1/1997,3328.379883,684.98,26.335,2372.5,5.24
23/1/1998,1704.069946,450.98,44.3,15175,5.51
23/10/1997,1832.910034,494.14,35,3575,5.57
23/12/1997,1855.660034,397.03,40.4,5495,5.45
23/4/1997,2913.560059,651.45,26.375,2419.5,5.95
23/5/1997,2598.199951,658.52,26.38,2441.5,5.36
23/6/1997,2808.649902,719.64,26.375,2430,5.45
23/7/1997,2636.370117,718.19,28.6,2591.5,5.48
23/9/1997,2049.669922,539.48,33.55,2995,5.45
24/1/1997,3332.530029,678.91,26.34,2374,5.13
24/10/1997,1847.780029,490.4,35.45,3555,5.47
24/11/1997,1831.969971,410.21,34.35,3615,5.51
24/12/1997,1847.25,396.53,40,6000,5.08
24/2/1997,3338.669922,697.37,26.34,2391.5,5.22
24/3/1997,3222.459961,649.62,26.344,2404,5.47
24/4/1997,2906.330078,652.98,26.37,2431.5,5.62
24/6/1997,2818.27002,713.39,26.375,2432,5.39
24/7/1997,2572.800049,712.05,28.65,2618,5.57
24/9/1997,2077.040039,553.65,33.6,3000,5.57
25/11/1997,1795.349976,395.68,34.65,3660,5.55
25/12/1997,1847.25,396.53,40,6000,5.08
25/2/1997,3363.080078,701.31,26.341,2388.8,5.28
25/3/1997,3204.120117,657.29,26.355,2397,5.57
25/4/1997,2872.370117,652.48,26.37,2436,5.53
25/6/1997,2829.290039,712.5,26.375,2431,5.46
25/7/1997,2572.689941,710.06,29.75,2609,5.51
25/8/1997,2364.030029,540.93,30.05,2702.5,5.65
25/9/1997,2065.560059,559.22,33.55,3035,5.59
26/1/1998,1730.819946,473.69,43.55,14250,5.62
26/11/1997,1799.390015,398.54,34.75,3655,5.57
26/12/1997,1847.25,396.53,39.95,5150,5.19
26/2/1997,3349.820068,712.61,26.334,2391.5,5.2
26/3/1997,3223.139893,659.35,26.367,2401.5,5.61
26/5/1997,2598.199951,663.2,26.38,2440.5,5.36
26/6/1997,2837.100098,709.41,26.375,2430.5,5.5
26/8/1997,2300.820068,554.24,30,2775,5.62
26/9/1997,2080.780029,549.92,33.65,3105,5.44
27/1/1997,3323.100098,684.98,26.34,2372,5.33
27/1/1998,1733.150024,476.31,42.6,11400,5.52
27/10/1997,1857.339966,490.12,35.5,3625,5.58
27/11/1997,1761.359985,401.71,34.65,3665,5.57
27/2/1997,3333.939941,709.92,26.334,2393.2,5.29
27/3/1997,3223.139893,662.24,26.367,2401.5,5.68
27/5/1997,2710.909912,668.85,26.375,2440.5,5.59
27/6/1997,2835.030029,716.83,26.384,2432,5.52
27/8/1997,2284.030029,555.46,30.5,2947.5,5.52
28/1/1997,3341.98999,689.97,26.34,2370,5.27
28/1/1998,1782.069946,485.94,42.7,12000,5.58
28/10/1997,1740.180054,448,35.5,3650,5.49
28/11/1997,1771.939941,401.71,34.95,3660,5.5
28/2/1997,3315.280029,705.37,26.331,2396.5,5.5
28/3/1997,3223.139893,662.24,26.395,2401,5.52
28/4/1997,2837.310059,656.53,26.39,2429,5.72
28/5/1997,2722.669922,672.5,26.372,2440.5,5.52
28/7/1997,2592.209961,710.82,29.4,2575,5.59
28/8/1997,2071.969971,530.37,30.35,3020,5.64
29/1/1997,3373.610107,691.34,26.34,2371.5,5.05
29/1/1998,1796.680054,485.94,43,10500,5.63
29/10/1997,1814.150024,472.05,35.2,3650,5.43
29/12/1997,1869.22998,398.01,40.55,5350,5.57
29/4/1997,2708.439941,647.23,26.37,2426,5.53
29/5/1997,2758.610107,689.5,26.374,2439,5.56
29/7/1997,2592.459961,716.36,29.5,2575,5.52
29/8/1997,2021.52002,493.96,30.6,2935,5.52
29/9/1997,2059.149902,546.24,33.85,3215,5.68
30/1/1997,3392.76001,687.29,26.345,2373.5,5.3
30/1/1998,1948.01001,485.94,43.1,10050,5.48
30/10/1997,1813.160034,502.87,35.2,3645,5.54
30/12/1997,1869.22998,401.71,40.5,5450,6.07
30/4/1997,2648.169922,652.05,26.4,2430,5.82
30/5/1997,2809.449951,696.03,26.375,2433.5,5.58
30/6/1997,2809.209961,724.56,26.376,2431.5,6.87
30/7/1997,2595.419922,721.98,29.4,2577.5,5.78
30/9/1997,2057.389893,546.69,34.55,3270,5.81
31/1/1997,3421.909912,691.12,26.35,2376.5,5.37
31/10/1997,1818.089966,500.42,35.3,3600,5.56
31/12/1997,1869.22998,401.71,40.5,5550,5.84
31/3/1997,3222.97998,662.24,26.365,2401,7.07
31/7/1997,2616.399902,721.27,29.55,2615,5.96
